Field,Value
basic.filename,samples.jpg
basic.extension,.jpg
basic.format,JPEG
basic.mode,RGB
basic.width,736
basic.height,414
basic.filesize_kb,45.72
file.File Name,samples.jpg
file.Absolute Path,C:\Users\Mukul\ImageEncryptionToolPro\samples\samples.jpg
file.Extension,.jpg
file.MIME Type,image/jpeg
file.File Size (KB),45.72
file.Created,2026-07-11 20:49:16.147521
file.Modified,2026-07-11 16:24:52.172017
hashes.md5,77c5d0624d3eb998fa22c91ed4b0bd35
hashes.sha256,2a9883868d61897978130ae68074435e28a859d0c191d3ade7e8685ee1bff130
hashes.sha512,9d50df0ad6e18d1d38d628be3185fadb05d02a5520d33cb1bf1297bdd628ac2b50829a60db2249f02593a9c1f44e8ca9e8a183b03cc611b5b1012a230bc2c424
entropy,7.9816
risk.Risk Score,0
risk.Risk Level,Low
risk.Reasons,['No privacy risks detected']
